rnum,id,title,cont,udate,hits,likes,hname,dname,rcount
11,member,치과후기11,"
모두닥으로 예약했는데 전화가 와서 예약이 수월했네요
전체적으로 검진 후 임플란트(뼈이식) 및 크라운 치료 했습니다
친절한 상담과 섬세한 치료 만족합니다
편안하고 아프지 않게 예쁘게 치료 잘해주셔서 감사합니다
자기치아살리기 가치에 신뢰가 갑니다
삼성역 3번출구 나가서 바로 간판이 보이네요
감사합니다 강추합니다
",2022-09-07,0,10,강서발산플란트치과의원,도도름,0
12,member2,치과후기12,"
정말 친철하시고 세밀하게 최선을 다해 진료해주시는 의료진 모습이 인상적이엇습니다. 제가 해외 일정이 있었어.. 급하게 내원했는데 추가 충치도 많고 최대한 일정에 맞추셨어 해주셧어요 . 고생 많으셨습니다.
",2022-09-07,0,10,연세해맑은치과교정과치과의원,류동리,0
13,xman,치과후기13,"
친절히 상담 해 주셨고 다음 예약 하고 왔습니다
임플란트 선택지가 있어 좋았구요 첨 방문이라 주차장찾느라 좀 어려웠네요 친절하시고 빠른상담이
좋았습니다 아직은 잘 모르겠으나 임플란트 시술받아봐야 겠지요~^^
",2022-08-08,0,9.8,선릉애플치과의원,문률린,0
14,member,치과후기14,"
전역하고 3월에 몰아서 치료다하고 나서 스케일링 받으러 동네에 치과 갔는데 인접면에 충지 엄청 생겨서 진짜 치아 5,6개 충치있다고 해서 하 뇌절이었는데

삼성역 근처에 꼼꼼하게 봐주시고 과잉 없다고 해서 무턱으로 가서 진단도 봤는데 치료를 할지 말지 모르는 처음온 저에게 친절하게 하나하나 위치별로 카메라로 찍어주시고 엑스레이도 찍어서 자세히 알려주셨습니다.

하도 제가 엑스레이 때 자리를 못잡아서 그런지 치위생사분이 조금 고생하셨는데 죄송합니다. ㅠㅠ

여러곳에 충치가 있었는데 이 부분은 조금더 지켜보자 이 부분은 사랑니 빼면서 같이 진행해도 될 거 같다 등 계획을 잡는데 도움을 주셨고 사진으로 하나하나 쉽게 설명해주셨습니다.

그래서 꼭 해야하는 어금니 인접면 충지 인레이로 치료하고 왔습니다. 서울에 살고 있지만 삼성역은 1시간 정도 걸리는 거리지만 그래도 꾸준히 방문하고자 합니다.

치과는 진짜 잘 알아보고 가야 하는거 같습니다.
",2022-06-23,0,10,빛치과의원,민명림,0
15,member2,치과후기15,"
원장님부터 치위생사 선생님들, 데스크 선생님들까지
모든 분들이 친절하신 곳이예요 ㅜㅠ
마치 '이가 아파서 오셨어요ㅠㅠㅠ? 오구ㅠㅠㅠ 어서오세요ㅠㅠ'
하는 느낌 ㅠㅠ 두시간을 가까이 누워서 진료를 봤는데도
꼼꼼하게 진료과정을 설명해주시고 치아상태를 잘 말씀해주셔서
이해가 잘 되었고 과잉진료나 치아삭제 없이 최대히 건강하게
좋은 치료만 권유해주셔서 더 믿음이 갔어요!
모두닥 후기보고 갔는데 앞으로 치과는 여기만 다닐 것 같아요 ㅎㅎ
",2022-01-28,0,10,이미지치과의원,박미미,0
16,xman,치과후기16,"
모두닥 리뷰를 보고 갔습니다. 정말 친절하시고 병원 이름처럼 제 치아를 그대로 살리려고 하시더라구요. 전에 다니던 치과에서 신경치료 다시해야한다고 했는데 왜 그게 좋은 생각은 아닌지 찬찬히 설명해주시고 스케일링도 안아프게 잘 해주셨습니다. 아직 치통이 나으려면 시간이 좀 걸려서 지켜봐야하지만 완전 만족합니다.
",2022-04-13,0,9.3,더드림치과의원,방민민,0
17,member,치과후기17,치료 가격정보,2022-05-16,0,9,서울새린치과의원,배병비,0
18,member2,치과후기18,"
이 근방 치과 중 가장 친절하고 자상하실 것 이라고 감히 자부합니다. 과잉진료 절대 없구요, 치과를 무서워하시는 분들이라면 안심하고 가세요. 치과 치료 과정을 비롯하여 입에 들어가는 기구 하나하나 안정적인 목소리로 설명해주시며 치료해주십니다. 너무 만족스러운 진료였어요. 마지막까지 친절하게 인사해주셔서 감사드립니다.☺️
",2022-02-21,0,10,나온치과의원,백보빈,0
19,xman,치과후기19,"
우선 후기에서 선생님의 친절에 대한 후기가 많았는데 이 점이 제가 느낀 제일 좋은 점 이었습니다
차분히 친절하게 다 설명을 해주시고 치료에 있어서 꼭 해야만 하는지 하는게 좋은지의 정도에 대해서 설명을 주셔서 스스로 치료 결정을 내릴 수 있게 압박감이 없었습니다
다만 선생님이 한 분이라 예약을 했음에도 불구하고 대기가 있을 수 있는 점이 조금 아쉬웠습니다! 이 점은 직장인 분들이 업무중간에 잠시 다녀올 계획이면 참고하면 좋을 것 같아요
",2022-02-08,0,9.8,튼튼플란트치과의원,변비서,0
20,member,치과후기20,"
상한 치아와 평소에 관리해야하는부분에 대해 체크하고 엑스레이 검사와 진료, 스케일링, 이후의 치료계획 등을 꼼꼼하게 볼 수 있었습니다. 친절하고 꼼꼼하셔서 기꺼이 추천하고 싶습니다.
",2021-01-27,0,10,청량리왕플란트치과의원,서상선,0
21,member2,치과후기21,"
사랑니 발취 2개 했어요! 제가 사는 지방에서는 발취할 수 없어서 서울까지 가서 했구요 대학병원에 안가고 빨리 검사받고 발취할 수있어서 너무 감사했어요 원장님 정말 아프지않게 잘발취해주셔서 감사해요
",2022-08-23,0,10,강서발산플란트치과의원,석서성,0
22,xman,치과후기22,"
사랑니 잘뽑는곳으로 유명해서 집에서 멀지만 찾아서 갔어요
제가 워낙 겁이많아서 바로 발치를 못할까봐 리뷰보고
친절한 곳으로 서치해서 간거에요
역시나 선생님 너무 친절하셨고 저를 진정시켜주셔서
사랑니 3개 잘뽑았어요
감사합니다!
",2022-06-11,0,10,연세해맑은치과교정과치과의원,손선세,0
23,member,치과후기23,"
작년말에 충치 발견해서 미루고 미루다가 치과방문했는데, 적어도 15만원은 쓰겠지하고 갔습니다. 친절한 원장님께서 치료할 충치는 아니라고 하셨고, 잇몸안쪽 안보이는곳에 치아가 깨진건지 패인부분이 있는데 그거 치료해주시고 잇몸이 부어있어서 잇몸치료 추천해주셨어요.
여기 치과는 덤탱이 안씌우고 지금 나한테 필요한 치료를 너무 잘해줘서 맘 부담 없이 치료 오게되요.
친구들도 한번 오면 믿고 안심하고 치료받게 되는 병원이라고 해요~
",2022-04-14,0,10,선릉애플치과의원,송성소,0
24,member2,치과후기24,"
임플란트 할 병원을 찾던 중 임플란트 전문으로 하는 그랜드치과를 알게 되어 진료를 받고 친절한 설명과 정확한 진단으로 정기적으로 다니고 있습니다.
정기검진 시 레진으로 때워주시고 스켈링 진료를 받았는데
치아상태가 어떠한지 어떻게 관리해야하는지를 명확하게 알려주셔서 좋았습니다. 진료 후의 치아상태는 만족하고 지인에게도 추천합니다.
",2022-04-23,0,10,빛치과의원,신세솔,0
25,xman,치과후기25,"
항상 갈때마다 친철하고 신속한 치료 덕분에 동탄으로 이사를 갔는데도 꾸준히 찾아갑니다.
치료에 대한 상세한 설명과 합리적인 치료비용이 가능하도록 선택할 수 있어서 치통으로 인한 속상함을 덜어주시네요~
엑스레이로 치료전에 전체적으로 이전의 치료 기록과 현재 상태를 바탕으로 검진해주시고, 통증 부위에 대한 설명도 자세히 들어주셔서 한결 마음이 놓이구요. 치료를 하는 중간중간 상태를 화면으로 바로 보면서 볼 수 있어서 좋았습니다. 마취주사도 기가막히게 안아프게 놔주셔서 신기하구요!
특히 진료실, 대기실을 포함해서 전체적으로 병원이 깨끗하고 밝은 분위기로 요즘같은 시국에 더더욱 믿음이 가구요! 언제나 통증을 날려주셔서 감사합니다. ^^
",2022-04-22,0,10,이미지치과의원,안소송,0
26,member,치과후기26,"
제가 치과를 많이 무서워해서 저를 잘 이해해주실 친절한 병원 찾다가 방문하게 됐어요
사실 치과 가는걸 좀 미루고 충치를 꼭 치료해야하나 생각하던 사람이었는데 가서 선생님들과 원장님께서 설명해주시는 내용 을 직접 들어보니 치료가 왜 필요한지 이해가 갔어요
평소 불편했던 어금니 치료했는데 충치가 많이 진행된 상태라고 하더라고요..신경치료까지 진행할 수도 있다고 하셔서 너무 무서웠는데 최대한 신경치료까지 안가게 해주겠다고 하셔서 믿고 치료 진행했습니다. 치료 내내 괜찮냐고 물어봐주시고 선생님들도 제 손 잡아주면서 긴장 풀어주셔서 무사히 치료 받았어요 오늘은 치료했던 부분 보철 붙이러 갔는데 아플 수 있는 상황 전에 미리 말해줘서 감사했어요..다른 부분도 치료가 필요했는데 강요하시진 않으셨고 마음의 준비 되면 받으러 오라고 하셨어요 담에 준비되면 방문하려구요.
",2022-04-15,0,10,더드림치과의원,양솔수,0
27,member2,치과후기27,"
이 전체 엑스레이 찍고 발치해야하는 충분한 설명과 충분한 마취 요구사항을 잘 들어주셨어요, 끝나고 얼음팩과 여유분의 거즈도 도움이 많이 되었습니다. 믿을수 있는 선생님과 직원분들이 친절해요.
",2022-04-15,0,10,서울새린치과의원,엄송승,0
28,xman,치과후기28,"
직장인이라 토요일 이용해서 스케일링 받고 왔습니다! 사실 충치가 많다고 원래 다니던 치과에서 들었었는데 치과에 아는 분도 계셔서 나중에 치료 받아야지 하고 치료를 미뤄왔습니다

사실 별 생각 없이 토요일 진료하는 병원 찾아서 스케일링만 하러 갔다가 검진도 하게 됐는데 세상에 그 전에는 패인 치아 치료랑 아말감 교체부터 치료할 게 많은 걸로 알고 있었는데 이 병원 가서 엑스레이랑 입 안 사진 다 찍어서 보여주시더니 아말감도 전혀 이상 없고 패인 치아만 보험되는 재료로 때우라고 하시더라구요 그 전에 치과는 엑스레이 보면서 말로만 설명해서 진짜 충치가 있나보다 했는데 이 병원은 치아 사진을 다 찍어서 보여주니 이해가 더 쉬웠습니다 치료할게 없어서 너무 다행이면서도 그 전에 진단 받은 치과에 대한 분노가 올라왔지만...! 그래도 큰 돈 나갈 걱정이 사라지니 기분 좋았습니다 첫 방문이라고 칫솔도 주시고 앞니 쪽 충치 살짝 있다고 해서 치실 사용법 배우면서 그 이후로 치실 사서 매일 쓰고 있습니다ㅎㅎ 예약 시간보다 늦었는데도 불구하고 대기 시간도 거의 없고 좋았습니다ㅎㅎ 데스크 직원부터 원장님 치위생사 선생님 다 친절하고 깔끔했습니다
",2022-04-14,0,10,나온치과의원,여수신,0
29,member,치과후기29,"
당산으로 이사 오고 나서 여러 군데 비교해보고 다니게 된 치과입니다. 사실 당산에 치과는 많은데 믿고 다닐만한 병원 검색하다가 가게 되었습니다.

이사 오기 전에 충치가 많이 있다고 들었었는데 바빠서 치료 계속 못 받다가 이사 오고 치료 받을 병원 알아보던 중 내원 했는데 그 전에는 충치 치료할 게 한 일곱개 정도 있다고 들었었는데 그랜드 치과에서 검진할 땐 당장 치료가 급한 건 두개 정도라고 하시더라구요! 과잉 진료 없이 급한 치료만 받고 나머지는 진행되는 충치가 아니라고해서 여태까지 치료 안 받고도 정기검진 다니면서 잘 지내고 있어요! 다행히 충치는 더 깊어지지 않았더라구요 :-) 오늘은 어금니 쪽이 씹을 때 아프길래 또 충치인가 겁먹고 갔다가 엑스레이 찍어보니 단순 잇몸 원인이라 잇몸치료만 받고 치실 선물도 받고 왔어요!

원장님도 그렇고 선생님도 그렇고 갈 때마다 친절한 느낌 받을 수 있고 관리 방법도 알려줘서 항상 만족스럽습니다! 당산에서 믿을만한 치과 찾으시면 이 병원 추천해요!
",2022-04-13,0,10,튼튼플란트치과의원,염순아,0
30,member2,치과후기30,"
충치 치료를 모두 권장하고 과잉 진료가 있음을 느꼈습니다.

평소에 충치가 꽤 있는 것은 알고 있었지만, 모두 치료해야할 것처럼 말씀해주셨습니다. 그래서 받은 견적이 총 300만원이 넘는 금액대였는데,
당일 일부분만 치료하긴 했습니다.

하지만 인터넷과 여러부분를 찾아보면서 충치치료를 위해서는 생치아도 날려버리기때문에 심하지 않은 이상 치료 안해도 된다는 내용을 봤습니다.
그래서 추후 치료는 고민하던 중 다른 모 치과에서 다시 한번 충치 확인을 받았는데 충격적이게도 치료하지 않아도 된다고 했습니다. 특히나, 이 병원에서는 크라운치료(한 개당 50만원 대)로 진행한다던 치아도 다른 병원에서는 그냥 금으로 때우면 된다고 이러면 금액대가 절반으로 줄어듭니다.

결론적으로 몇백만원대 안해도 될 치료를 할 뻔했지만 안해도 될 거 같아 안심을 느꼈고 과잉 진료 없는 치과를 찾아 꼭 확인해보는 작업이 필요함을 느꼈습니다.
",2022-03-14,0,6.3,청량리왕플란트치과의원,오슬안,0
31,xman,치과후기31,"
치아 미백했는데
원래 밝은건 알고 있었는데 복용하는 약이 착색되어
더 안 좋아지긴 전에 관리 차원에서 받았어요
착색되었던 부분들이 받고 나오니 밝아졌네요

병원 깔끔하고 넓어요
데스크 직원분들이나 치위생사분들 선생님 모두 친절하세요
",2022-01-19,0,10,이미지치과의원,우승언,0
32,member,치과후기32,"
인레이 치료 모두닥 이벤트로 방문했습니다. 직원분들도 다 친절하시고 대기시간도 길지않고 평일이라 주차공간도 있어서 좋았습니다. 남의사분은 교정과 여자 선생님만큼 친절하진 않았지만 그래도 치료자체는 만족스러웠습니다~
",2021-09-08,0,9.5,더드림치과의원,원시연,0
33,member2,치과후기33,"
교정 후 지속적으로 정기검진을 다니고 있습니다 예약시간에 조금 늦었지만 그래도 친절하게 응대해주셨고 간단한 진료와 스케일링을 받았습니다 교정을 다 하고서도 꾸준히 방문하는게 어렵지만 갈때마다 잘 봐주셔서 감사합니다
",2022-06-25,0,9.5,서울새린치과의원,유아영,0
34,xman,치과후기34,"
충치치료 할 게 많다고해서 인레이 행사하길래 방문했어요 근데 치료가 딱히 필요한 게 없다고 해서 돌아왔어요 얼마나 깨질까 걱정했는데.이렇게 양심적일수가... 앞으로 여기만 방문 할 예정입니당
",2022-06-17,0,10,나온치과의원,윤양예,0
35,member,치과후기35,"
쌤들이 너무 친절함 ㅠㅠ
마취때매 부들 부들 떨고있는데 손잡아주셨어요 감동♥️
치료 하는 내내 괜찮냐고 물어봐 주시고
너무 친절하고 다 착하세요 전직원이다
아직 다 치료는 못 했지만 잘부탁드려요 😚
",2022-05-12,0,9.8,튼튼플란트치과의원,은여옥,0
36,member2,치과후기36,"
이마 많이 시려서 갔는데 잘 치료가 되었습니다.
첫번째 치료 때 이가 계속 시렸는데 다음에 방문할 때 다시 한번 보시고 더 치료해주샸어요. 추가비용이 발생하는줄 알았는데 추가비용없이 잘 끝났습니다. 감사합니다.
",2022-05-12,0,9.8,청량리왕플란트치과의원,이연온,0
37,xman,치과후기37,"
이미 다른 병원에서 충치 확인 후 방문했습니다
이벤트로 저렴하게 했고 충치 확인정도만 해주시고 그 이외에는 다른 선생님?들이 봐주신 것 같아요.
그래도 몇달 지났는데 잘 붙어있거 이번에 다른 병원에 스케일링 받으러 갔는데 충치 없다고 하시네요 ~
저렴하게 잘 했습니다
",2022-05-03,0,10,이미지치과의원,임영완,0
38,member,치과후기38,"
공장형 치과처럼 보이지만 같은 의사선생님께서 진료를 꾸준히 해주시고 부득이 하게 타이밍이 안맞아서 다른 선생님께서 진료를 봐주실 경우에는 설명도 해주셔서 안심이되었습니다. 교정 두달차라 큰차이는 없어보이지만 그래도 치아에 무리안가게 교정해준거같아 조금 여유롭게 기다리려고해요. 충치도 과잉치료 안하시고 깔끔하고 안아프게 해주셨어요. 인레이도 이벤트값으로 다른곳보다 저렴하게 해서 좋았어요.
신뢰가 가능 치과입니다.
",2022-02-04,0,9.5,더드림치과의원,장예우,0
39,member2,치과후기39,"
선생님이 치아 스케일링이랑 교정에 대해 잘 해주시고, 최대한 아프지 않게 해주셨어요. 솔직히 입이 예민해서 조금만 통증와도 아픈데. 그래도 잘 관리해주시고 교정 잘 해주셔서 감사합니다.
",2022-02-17,0,10,서울새린치과의원,전우욱,0
40,xman,치과후기40,"
전반적으로 깔끔하고 친절 그리고 사람이 엄청 많지도 않고 적지도 않아서 딱 적당하구 좋아요 그리고 친절하시고 나긋나긋하게 말씀해주세용!! 그리고 편하게 잘대해주시고 꼼꼼하게 다 설명해주세영
",2022-01-04,0,10,나온치과의원,정원운,0
41,member,치과후기41,치료 가격정보,2022-08-10,0,7.8,튼튼플란트치과의원,조유원,0
42,member2,치과후기42,"
가격도 매우 합리적이고, 친절하고 커서 오래 안기달려도 되어 매우 좋습니다. 특히 예약시스템도 좋고 가격을 주변 업체 모두 전화로 확인시 지르코니아 오스템 임플란트 가격이 저렴해서 이용했어요.
",2022-05-17,0,10,청량리왕플란트치과의원,주윤유,0
43,xman,치과후기43,"
화이트 드림치과는 제가 여러차례 검색을 통해서 알게 된 전문 치과입니다. 특히 임플란트 저렴한 곳을 찾았는데, 여기는 정말 대형 병원으로 실력있는 의사분들이 많으셔서 만족했어요. 감사해요
",2022-05-17,0,10,이미지치과의원,지은윤,0
44,xman,치과후기44,"
교정 끝났습니다.
이나래 원장님께서 세심하게 봐주셨구요.
나름 턱관절도 괜찮고, 큰 문제 없이 예쁘게 끝났습니다.
총 교정비용 290만원에 충치 3개 60만원, 340만원 결제했었네요.
대기 시간은 길지만 그것 빼고 다 괜찮았어요!
",2022-05-09,0,10,더드림치과의원,진의율,0
45,member,치과후기45,"
교정상담차 방문했고, 전체적으로 무난한 느낌이었습니다.

대기는 짧은편이었어요.
크게 특출난 장점이나 단점은 발견 못했습니다.
접근성도 괜찮고 상냥하셨어서 나쁘지않았어요.

다만 다른곳에서는 교정상담하면 보통 엑스레이 사진에 표시하시면서 견적서를 뽑아주시는데 그냥 엑스레이 사진만 띄우고 종이에 연필로 견적을 실장님이 적어주십니다 ㅠㅋㅋ

비용이 큰 교정+임플란트 예정이라 치료는 고민중이고, 임플란트나 교정 견적 궁금하신분들 있을까봐 이미지로 올려드려요.
근데 홈페이지에도 비슷한 가격(할인가)로 적혀있습니다. 그냥 평범하게 실장님이 큰 금액 부르고 할인해준다고 하시는 식의 상담스타일이에요.
",2021-01-21,0,8.8,서울새린치과의원,차이은,0
46,member2,치과후기46,"
아주 친절하십니다^^ 그리고 교정 효과또한 빨랐구요, 만족합니다. 후에 유지장치를 붙여주시는데 그게 또 편리하더라구요(가철식은 뗏다 붙였다 해야해서 불편한데..) 예약하고 가서 대기도 거의 없었습니다~
저는 앞니를 붙이는 부분교정을 하였습니다!
",2022-01-21,0,9.8,나온치과의원,최재이,0
47,xman,치과후기47,"
최은하 선생님 차분하게 잘 설명해주시고, 치료방향에 대해서나 피드백이 늘 좋은 분입니다.
이전하기 전에는 보철과와 비보철과가 층이 분리되어 불편했는데 이전하고 개선되었고, 새건물이라 매우 청결합니다.

다만, 접수받는 사람들 너무 불친절합니다. 제발 본인들 말투가 어떤지 녹음해서 한번 들어보길.. 3주전에 통화한 말투가 계속 생각날정도.. 환자를 불편하게 만듭니다.
",2021-01-15,0,7.8,튼튼플란트치과의원,추정인,0
48,member,치과후기48,"
다녔던 치과중에 제일 좋습니다.
교정을 할까말까 고민하고 상담만 몇년째 받으며 계속 미루고 그랬는데, 여기는 우연히 다른일로 가게됐고 간김에 교정까지 바로 결정하게됐어요.
최근에도 지인에게 소개했어요.
감사합니다.
",2021-09-18,0,10,청량리왕플란트치과의원,탁조임,0
49,member2,치과후기49,"
스케일링을 위해 방문하였습니다. 매년 한번씩 꾸준히 스케일링을 받는 편이라 연말에 잊지않고 방문하였고, 무난하게 상태 체크 후 스케일링 잘 받고 왔습니다. 다만 규모가 큰 병원이고 환자도 많아서 예약을 일찍 해야합니다.
",2021-01-13,0,10,나온치과의원,편주재,0
50,xman,치과후기50,"
항상 대기시간이 길어서 불편했는데 오늘은 대기시간 없이 진료 볼 수 있어서 좋았어요~
치위생사분이 너무 친절하셨어요!!
지방에서 다니다보니 시간이 많이 소요되는데 대기시간까지 길어서 속상했는데 오늘만 같으면 강추합니다!!
",2021-01-07,0,10,튼튼플란트치과의원,표준정,0
51,member,치과후기51,"
이 병원은 스케일링으로 방문하게 되었습니다
우산 병원내부가 깨끗하고 시설도 좋아보였어요!
스케일링도 안아프게 해주셔서 감사했습니다 차후 관리하는방법도 세세하세 알려주셔서 도움이 많이되었습니다
",2022-08-05,0,10,청량리왕플란트치과의원,하지주,0
52,member2,치과후기52,"
스케일링 하러 방문하였고, 다들 친절하게 상담해주시고 치료도 안아프고 편안한 분위기에서 치료 받았습니다! 이층에 진료실있어서 프라이빗해요! 과잉진료 없고 딱 필요한것만 말씀해주시고 빠른 진료 받을 수 있어요!
",2022-08-04,0,10,나온치과의원,한진준,0
53,xman,치과후기53,"
우선 병원내 시스템이 최신으로 깨끗하고 청결했어요
서울 메인부에 있는 치과라서 그런지 조금 비싼 느낌을 받았어요 ㅠㅠ
그리고 사랑니뺏는데 사랑니 발치한곳에 자꾸 염증이 나네요 .. 그래서 다시 가진않을것같습니다
",2022-08-04,0,10,튼튼플란트치과의원,허채지,0
54,xman,치과후기54,"
지하철역하고 연결되어있는 건물이라 접근성이 너무 좋습니다!
입구도 깔끔하고 향기도 은은히 나서 기분이 좋아집니다
의사선생님도 엄청 친절하시고 자세히 설명해주시고 과잉진료 하시지 않는거 같아 너무 좋아요
",2022-07-21,0,10,청량리왕플란트치과의원,홍초진,0
55,member,치과후기55,"
제가 전체적으로 치아 상태가 안좋아서 임플란트를 할데가 많아서 고민이 많았는데요 우연히 발견하게 되서 상담받고 믿음이가서 그 다음주로 방문하게 되었어요 평소에 치과 진료는 무섭기도하고 겁이많은편이라서.. 수면으로 원하고 있었는데 마침 수면으로 치료가 가능하다고해서 결정하게 되었네요.
수술진행하기 전에 2시간전에는 물도 마시면안되고 8시간전에는 금식해야된다고 안내전화 받고 바로 곡기를 끊었어요.. 연락 안주셨으면 깜빡 할뻔했습니다 감사합니다. 그리고 수술해주신 원장님께서 꼼꼼하고 자세하게 설명해주셔서 좋았습니다. 긴시간 수술해주시느라 고생많으셨습니다. 정말 감사드립니다..앞으로도 남은 치료기간동안 잘 부탁드립니다.
",2022-05-05,0,10,서울연세조이치과의원,황태채,0
